Year,CPU Designer,CPU Family,CPU Model,CPU,Processor Code Name,TDP,Transistors (mln),Die size mmˆ2,Processor Clock [MHz],Cores,FP32,GFLOPS(FP32)
2013,Intel,Celeron,N2805,Intel Celeron N2805,Bay Trail,4.3,,,1460,2,3,8.76
2014,Intel,Celeron,N2808,Intel Celeron N2808,Bay Trail,4.5,,,1580,2,3,9.48
2013,Intel,Celeron,N2806,Intel Celeron N2806,Bay Trail,4.5,,,1600,2,3,9.6
2013,Intel,Celeron,N2815,Intel Celeron N2815,Bay Trail,7.5,,,1860,2,3,11.16
2013,Intel,Celeron,N2810,Intel Celeron N2810,Bay Trail,7.5,,,2000,2,3,12
2013,Intel,Celeron,N2820,Intel Celeron N2820,Bay Trail,7.5,,,2130,2,3,12.78
2014,Intel,Celeron,N2830,Intel Celeron N2830,Bay Trail,7.5,,,2160,2,3,12.96
2014,Intel,Celeron,N2840,Intel Celeron N2840,Bay Trail,7.5,,,2160,2,3,12.96
,Intel,Celeron,N2820,Intel Celeron N2820,Bay Trail,7.5,,,2400,2,3,14.4
2013,Intel,Celeron,J1750,Intel Celeron J1750,Bay Trail,10,,,2410,2,3,14.46
2013,Intel,Celeron,J1800,Intel Celeron J1800,Bay Trail,10,,,2410,2,3,14.46
2014,Intel,Atom,Z3735D,Intel Atom Z3735D,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3735E,Intel Atom Z3735E,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3735F,Intel Atom Z3735F,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3735G,Intel Atom Z3735G,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3736F,Intel Atom Z3736F,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3736G,Intel Atom Z3736G,Bay Trail,,,,1330,4,3,15.96
2013,Intel,Atom,Z3740,Intel Atom Z3740,Bay Trail,,,,1330,4,3,15.96
2013,Intel,Atom,Z3740D,Intel Atom Z3740D,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3745,Intel Atom Z3745,Bay Trail,,,,1330,4,3,15.96
2014,Intel,Atom,Z3745D,Intel Atom Z3745D,Bay Trail,,,,1330,4,3,15.96
2013,Intel,Atom,Z3770,Intel Atom Z3770,Bay Trail,,,,1460,4,3,17.52
2014,Intel,Atom,Z3775,Intel Atom Z3775,Bay Trail,,,,1460,4,3,17.52
2014,Intel,Atom,Z3775D,Intel Atom Z3775D,Bay Trail,,,,1490,4,3,17.88
2014,Intel,Atom,Z3785,Intel Atom Z3785,Bay Trail,,,,1490,4,3,17.88
2013,Intel,Atom,Z3770D,Intel Atom Z3770D,Bay Trail,,,,1500,4,3,18
2014,Intel,Atom,Z3795,Intel Atom Z3795,Bay Trail,,,,1590,4,3,19.08
2013,Intel,Celeron,N2910,Intel Celeron N2910,Bay Trail,7.5,,,1600,4,3,19.2
2014,Intel,Celeron,N2940,Intel Celeron N2940,Bay Trail,7.5,,,1830,4,3,21.96
2013,Intel,Celeron,J1850,Intel Celeron J1850,Bay Trail,10,,,2000,4,3,24
2013,Intel,Pentium,N3510,Intel Pentium N3510,Bay Trail,7.5,,,2000,4,3,24
2014,Intel,Pentium,N3530,Intel Pentium N3530,Bay Trail,7.5,,,2160,4,3,25.92
2014,Intel,Pentium,N3540,Intel Pentium N3540,Bay Trail,7.5,,,2160,4,3,25.92
2013,Intel,Pentium,N3520,Intel Pentium N3520,Bay Trail,7.5,,,2166,4,3,25.992
2013,Intel,Pentium,J2850,Intel Pentium J2850,Bay Trail,10,,,2410,4,3,28.92
2013,Intel,Pentium,J2900,Intel Pentium J2900,Bay Trail,10,,,2410,4,3,28.92
,Intel,Celeron M,523,Intel Celeron M 523,Merom,5.5,291,143,930,1,8,7.44
,Intel,Core 2 Solo,U2100,Intel Core 2 Solo U2100,Merom,5.5,291,143,1060,1,8,8.48
,Intel,Core 2 Solo,SU3300,Intel Core 2 Solo SU3300,Penryn,5.5,410,107,1200,1,8,9.6
,Intel,Core 2 Solo,U2200,Intel Core 2 Solo U2200,Merom,5.5,291,143,1200,1,8,9.6
,Intel,Celeron,743,Intel Celeron 743,Penryn,10,410,107,1300,1,8,10.4
,Intel,Celeron M,743,Intel Celeron M 743,Penryn,10,410,107,1300,1,8,10.4
2009,Intel,Pentium,SU2700,Intel Pentium SU2700,Penryn,10,410,107,1300,1,8,10.4
2009,Intel,Core2,SU3500,Intel Core2 SU3500,Penryn,5.5,410,107,1300,1,8,10.4
2011,Intel,Celeron,763,Intel Celeron 763,Penryn,10,410,107,1400,1,8,11.2
2009,Intel,Core 2 Solo,SU3500,Intel Core 2 Solo SU3500,Penryn,5.5,410,107,1400,1,8,11.2
,Intel,Celeron M,520,Intel Celeron M 520,Merom,30,291,143,1600,1,8,12.8
,Intel,Core2,SL3400,Intel Core2 SL3400,Penryn,17,410,107,1860,1,8,14.88
2010,Intel,Core i7,i7-620UM,Intel Core i7 i7-620UM,Arrandale,18,382,81,1060,2,8,16.96
2010,Intel,Celeron,U3400,Intel Celeron U3400,Arrandale,18,382,81,1060,2,8,16.96
2008,Intel,Celeron,560,Intel Celeron 560,Merom,31,291,143,2130,1,8,17.04
2010,Intel,Core i5,i5-520UM,Intel Core i5 i5-520UM,Arrandale,18,382,81,1066,2,8,17.056
2008,Intel,Celeron,585,Intel Celeron 585,Merom,31,291,143,2160,1,8,17.28
2009,Intel,Celeron,900,Intel Celeron 900,Penryn,35,410,107,2200,1,8,17.6
2008,Intel,Celeron,570,Intel Celeron 570,Merom,31,291,143,2260,1,8,18.08
2011,Intel,Celeron,925,Intel Celeron 925,Penryn,35,410,107,2300,1,8,18.4
2010,Intel,Core i3,i3-330UM,Intel Core i3 i3-330UM,Arrandale,18,382,81,1200,2,8,19.2
2010,Intel,Core i5,i5-430UM,Intel Core i5 i5-430UM,Arrandale,18,382,81,1200,2,8,19.2
2010,Intel,Core i5,i5-540UM,Intel Core i5 i5-540UM,Arrandale,18,382,81,1200,2,8,19.2
2010,Intel,Core i7,i7-640UM,Intel Core i7 i7-640UM,Arrandale,18,382,81,1200,2,8,19.2
2009,Intel,Celeron,SU2300,Intel Celeron SU2300,Penryn,10,410,107,1200,2,8,19.2
2011,Intel,Celeron,U3600,Intel Celeron U3600,Arrandale,18,382,81,1200,2,8,19.2
2010,Intel,Pentium,U5400,Intel Pentium U5400,Arrandale,18,382,81,1200,2,8,19.2
,Intel,Core 2 Duo,U7600,Intel Core 2 Duo U7600,Merom,10,291,143,1200,2,8,19.2
,Intel,Core 2 Solo,SU3500,Intel Core 2 Solo SU3500,Penryn,5.5,410,107,1300,2,8,20.8
2009,Intel,Pentium,SU4100,Intel Pentium SU4100,Penryn,10,410,107,1300,2,8,20.8
,Intel,Core2,SU7300,Intel Core2 SU7300,Penryn,10,410,107,1300,2,8,20.8
2010,Intel,Core i3,i3-380UM,Intel Core i3 i3-380UM,Arrandale,18,382,81,1330,2,8,21.28
2010,Intel,Core i5,i5-470UM,Intel Core i5 i5-470UM,Arrandale,18,382,81,1330,2,8,21.28
2010,Intel,Core i5,i5-560UM,Intel Core i5 i5-560UM,Arrandale,18,382,81,1330,2,8,21.28
2010,Intel,Core i7,i7-660UM,Intel Core i7 i7-660UM,Arrandale,18,382,81,1330,2,8,21.28
,Intel,Core 2 Duo,L7200,Intel Core 2 Duo L7200,Merom,17,291,143,1330,2,8,21.28
2011,Intel,Pentium,U5600,Intel Pentium U5600,Arrandale,18,382,81,1330,2,8,21.28
,Intel,Core 2 Duo,U7700,Intel Core 2 Duo U7700,Merom,10,291,143,1330,2,8,21.28
,Intel,Core 2 Duo,L7300,Intel Core 2 Duo L7300,Merom,17,291,143,1400,2,8,22.4
2008,Intel,Core 2 Duo,SU9400,Intel Core 2 Duo SU9400,Penryn,10,410,107,1400,2,8,22.4
,Intel,Core 2 Duo,T5270,Intel Core 2 Duo T5270,Merom,35,291,143,1400,2,8,22.4
,Intel,Core2,T5270,Intel Core2 T5270,Merom,35,291,143,1400,2,8,22.4
2010,Intel,Core i7,i7-680UM,Intel Core i7 i7-680UM,Arrandale,18,382,81,1460,2,8,23.36
,Intel,Core 2 Duo,T5250,Intel Core 2 Duo T5250,Merom,35,291,143,1500,2,8,24
,Intel,Core2,T5250,Intel Core2 T5250,Merom,35,291,143,1500,2,8,24
,Intel,Core 2 Duo,SL9300,Intel Core 2 Duo SL9300,Penryn,17,410,107,1600,2,8,25.6
,Intel,Core 2 Duo,SU9600,Intel Core 2 Duo SU9600,Penryn,10,410,107,1600,2,8,25.6
,Intel,Core 2 Duo,T5200,Intel Core 2 Duo T5200,Merom,34,291,143,1600,2,8,25.6
