paper,url,year,model,top1_error,top5_error,flops,multiadds,#params,training_time,time_sec,#epochs,#training_data,gpu,#gpu,tpu,#tpu,hw_gflops,comments
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet50,24.7,7.8,,,,,,,,,,,,,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet101,23.6,7.1,,,,,,,,,,,,,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet152,23,6.7,,,,,,,,,,,,,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt50,22.2,,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt101,21.2,5.6,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,VGG16,,,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,BNInception,25.2,7.82,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,InceptionResNetv2,19.9,4.9,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet50 (reimplementation),24.8,7.48,3.86E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet101 (reimplementation),23.17,6.52,7.58E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet152 (reimplementation),22.42,6.34,1.13E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt50 (reimplementation),22.11,5.9,4.24E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt101 (reimplementation),21.18,5.57,7.99E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,VGG16 (reimplementation),27.02,8.81,1.55E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,BNInception (reimplementation),25.38,7.89,2.03E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,InceptionResNetv2 (reimplementation),20.37,5.21,1.18E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet50 (SENet),23.29,6.62,3.87E+09,,2.75E+07,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet101 (SENet),22.38,06.07,7.60E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNet152 (SENet),21.57,5.73,1.13E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt50 (SENet),21.1,5.49,4.25E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ResNeXt101 (SENet),20.7,05.01,8.00E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,VGG16 (SENet),25.22,7.7,1.55E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,BNInception (SENet),24.23,7.14,2.04E+09,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,InceptionResNetv2 (SENet),19.8,4.79,1.18E+10,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,MobileNet,29.4,,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ShuffleNet,32.6,,,,,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,MobileNet (reimplementation),28.4,9.4,5.69E+08,,4.20E+06,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ShuffleNet (reimplementation),32.6,12.5,1.40E+08,,1.80E+06,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,MobileNet (SENet),25.3,7.7,5.72E+08,,4.70E+06,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
SqueezeandExcitation Networks,https://arxiv.org/abs/1709.01507,2017,ShuffleNet (SENet),31,11.1,1.42E+08,,2.40E+06,,,100,1200000,GeForce Titan X,8,,,8.78E+04,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,IncepResNet V2,19.6,4.7,,,1.32E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,ResNeXt101,19.1,4.4,,,3.15E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,PolyNet,18.7,4.2,,,3.47E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,DualPathNet131,18.5,4.2,,,3.20E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,GeNet2,27.9,9.6,,,,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,BlockQNNB,24.3,7.4,,,,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,Hierarchical,20.3,5.2,,,,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,NASNetA,17.3,3.8,,,2.38E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,PNASNet5,17.1,3.8,,,2.50E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,"AmoebaNetA (N=6, F=190)",17.2,3.9,,,2.31E+10,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,2018,"AmoebaNetA (N=6, F=448)",16.1,3.4,,,1.04E+11,,,,1200000,Tesla P100 PCIe 16 GB,100,,,9.53E+05,
,https://github.com/albanie/convnetburden,2018,caffenet,42.6,19.7,7.24E+08,,,,,,1200000,,,,,,parameter in memory / The numbers are given for single element batches.
,https://github.com/albanie/convnetburden,2018,squeezenet10,41.9,19.58,8.37E+08,,,,,,1200000,,,,,,parameter in memory / The numbers are given for single element batches.
,https://github.com/albanie/convnetburden,2018,squeezenet11,41.81,19.38,3.60E+08,,,,,,1200000,,,,,,parameter in memory / The numbers are given for single element batches.
,https://github.com/albanie/convnetburden,2018,vggf,41.4,19.1,7.27E+08,,,,,,1200000,,,,,,parameter in memory / The numbers are given for single element batches.
