year,method,url,title,F1,EM,gpu,#gpu,tpu,#tpu,time,hw_gflops,time_sec,params,#epochs
2016,"Dynamic Coattention Networks (single model)",https://arxiv.org/pdf/1611.01604v4.pdf,"Dynamic Coattention Networks For Question Answering",75.9,66.2,,,,,,,,,
2017,MEMEN(singel model),https://arxiv.org/pdf/1707.09098v1.pdf,"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension",85.344,78.234,GeForce Titan X,1,,,5 hours,1.10E+04,18000,,
2017,MEMEN(ensemble model),https://arxiv.org/pdf/1707.09098v1.pdf,"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension",82.66,75.37,GeForce Titan X,1,,,22 hours,1.10E+04,79200,,
2016,"Multi-Perspective Matching(ensemble)",https://arxiv.org/pdf/1612.04211v1.pdf,"Multi-Perspective Context Matching for Machine Comprehension",81.257,73.765,,,,,,,,,
2016,"Multi-Perspective Matching(single model)",https://arxiv.org/pdf/1612.04211v1.pdf,"Multi-Perspective Context Matching for Machine Comprehension",78.784,70.387,,,,,,,,,
2017,"smarnet(single model)",https://arxiv.org/pdf/1710.02772v1.pdf,"Smarnet: Teaching Machines to Read and Comprehend Like Human",80.16,71.415,GeForce GTX 1080 Ti,1,,,14 hours,1.13E+04,50400,,
2017,"SEDT+BiDAF(single model)",https://arxiv.org/pdf/1703.00572v3.pdf,"Structural Embedding of Syntactic Trees for Machine Comprehension",77.971,68.478,GeForce GTX 1080,1,,,,8.87E+03,,,
2018,FABIR,https://arxiv.org/pdf/1810.09580v1.pdf,A Fully Attention-Based Information Retriever,77.605,67.744,GeForce Titan X,1,,,,1.10E+04,,,54
2018,MAMCN+ ,https://www.aclweb.org/anthology/W18-2603.pdf,A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension,86.727,79.692,,,,,,,,,12
2018,BERT (ensemble),https://arxiv.org/pdf/1810.04805v2.pdf,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,93.16,87.433,,,Cloud TPU v3,64,4 days,420000,345600,340000000,3
2018,BERT (single),https://arxiv.org/pdf/1810.04805v2.pdf,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,91.835,85.083,,,Cloud TPU v3,64,4 days,420000,345600,340000000,3
2016,"BiDAF(ensemble)",https://arxiv.org/pdf/1611.01603v6.pdf,Bidirectional Attention Flow for Machine Comprehension,81.525,73.744,GeForce Titan X,1,,,20 hours,1.10E+04,72000,,
2016,"BiDAF(single model)",https://arxiv.org/pdf/1611.01603v6.pdf,Bidirectional Attention Flow for Machine Comprehension,77.323,67.974,GeForce Titan X,1,,,20 hours,1.10E+04,72000,,
2017,"RaSoR + TR + LM(single model)",https://arxiv.org/pdf/1712.03609v4.pdf,Contextualized Word Representations for Reading Comprehension,84.163,77.583,,,,,,,,,
2017,"RaSoR + TR(single model)",https://arxiv.org/pdf/1712.03609v4.pdf,Contextualized Word Representations for Reading Comprehension,83.261,75.789,,,,,,,,,
2017,DCN+(ensemble),https://arxiv.org/pdf/1711.00106v2.pdf,DCN+: Mixed Objective and Deep Residual Coattention for Question Answering,85.996,78.852,,,,,,,,,
2017,DCN+(ensemble),https://arxiv.org/pdf/1711.00106v2.pdf,DCN+: Mixed Objective and Deep Residual Coattention for Question Answering,82.806,74.866,,,,,,,,,
