dataset,year,method,title,BLEU,SACREBLEU,#flops,#multiply-adds,gpu,tpu,#gpu,#tpu,hw time,hw_gflops,time_sec,#param,#epochs,#data points,,paper,authors implementation
WMT2014 English-German,2018,"SMT + iterative backtranslation 
(unsupervised)",Unsupervised Statistical Machine Translation,14.08,,,,,,,,,,,,,,,https://arxiv.org/pdf/1809.01272v1.pdf,https://github.com/artetxem/monoses
WMT2014 English-German,2017,Transformer Big,Attention Is All You Need,28.4,,2.30E+19,,Tesla P100 PCIe 16 GB,,8,,3.5days,7.62E+04,302400,,,,,https://arxiv.org/pdf/1706.03762v5.pdf,
WMT2014 English-German,2017,Transformer Base,Attention Is All You Need,27.3,,3.30E+18,,Tesla P100 PCIe 16 GB,,8,,3.5days,7.62E+04,302400,,,,,https://arxiv.org/pdf/1706.03762v5.pdf,
WMT2014 English-German,2017,"ConvS2S 
(ensemble)",Convolutional Sequence to Sequence Learning,26.4,,,,Tesla M40,,8,,2 weeks,5.48E+04,1598400,,,,,https://arxiv.org/pdf/1705.03122v3.pdf,
WMT2014 English-German,2017,"ConvS2S 
(ensemble)",Convolutional Sequence to Sequence Learning,25.16,,,,Tesla M40,,1,,18.5 days,6.84E+03,1209600,,,,,https://arxiv.org/pdf/1705.03122v3.pdf,
WMT2014 English-German,2016,Deep-Att + PosUnk,Deep Recurrent Models with Fast-Forward Connections for Neural Machine Translation,20.7,,,,Tesla K40,,24,,10 days,1.03E+05,864000,,,4500000,,https://arxiv.org/pdf/1606.04199v3.pdf,
WMT2014 English-German,2018,DenseNMT,Dense Information Flow for Neural Machine Translation,25.52,,,,Tesla M40,,1,, 1710 word/s,6.84E+03,,,,,,https://arxiv.org/pdf/1806.00722v2.pdf,
WMT2014 English-German,2019,depth growing,Depth Growing for Neural Machine Translation,30.07,,,,Tesla M40,,8,,5 days,5.48E+04,432000,,,,,https://arxiv.org/pdf/1907.01968v1.pdf,
WMT2014 English-German,2017,SliceNet,Depthwise Separable Convolutions for Neural Machine Translation,26.1,,,,,,,,,,,,,,,https://arxiv.org/pdf/1706.03059v2.pdf,https://github.com/tensorflow/tensor2tensor
WMT2014 English-German,2018,"Denoising autoencoders 
(non-autoregressive)",Deterministic Non-Autoregressive Neural Sequence Modeling by Iterative Refinement,21.54,,,,,,,,,,,,,,,https://arxiv.org/pdf/1802.06901v3.pdf,
WMT2014 English-German,2019,T5-11B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,32.1,,,,,,,,,,,1.10E+10,,,,https://arxiv.org/pdf/1910.10683v2.pdf,
WMT2014 English-German,2018,Transformer Big + MoS,Fast and Simple Mixture of Softmaxes with BPE and Hybrid-LightRNN for Language Generation,29.6,,,,,,,,,,,,,,,https://arxiv.org/pdf/1809.09296v2.pdf,
WMT2014 English-German,2019,"FlowSeq-large 
(NPD n = 30)",FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,23.64,,,,GeForce Titan X,,1,,,1.10E+04,,,,,,https://arxiv.org/abs/1909.02480,https://github.com/XuezheMax/flowseq
WMT2014 English-German,2019,"FlowSeq-large 
(NPD n = 15)",FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,23.14,,,,GeForce Titan X,,1,,,1.10E+04,,,,,,https://arxiv.org/abs/1909.02480,https://github.com/XuezheMax/flowseq
WMT2014 English-German,2019,"FlowSeq-large 
(IWD n = 15)",FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,22.94,,,,GeForce Titan X,,1,,,1.10E+04,,,,,,https://arxiv.org/abs/1909.02480,https://github.com/XuezheMax/flowseq
WMT2014 English-German,2019,FlowSeq-base,FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,18.55,,,,GeForce Titan X,,1,,,1.10E+04,,,50,,,https://arxiv.org/abs/1909.02480,https://github.com/XuezheMax/flowseq
WMT2014 English-German,2019,FlowSeq-large,FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,20.85,,,,GeForce Titan X,,1,,,1.10E+04,,,50,,,https://arxiv.org/abs/1909.02480,https://github.com/XuezheMax/flowseq
WMT2014 English-German,2018,Transformer Big with FRAGE,FRAGE: Frequency-Agnostic Word Representation,29.11,,,,,,,,,,,,,,,https://arxiv.org/pdf/1809.06858v1.pdf,
WMT2014 English-German,2016,GNMT+RL,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,26.3,,,,,,,,,,,,,,,https://arxiv.org/pdf/1609.08144v2.pdf,
WMT2014 English-German,2019,Transformer Big + adversarial MLE,Improving Neural Language Modeling via Adversarial Training,29.52,,,,,,,,,,,,,,,https://arxiv.org/pdf/1906.03805v2.pdf,
WMT2014 English-German,2019,Local Joint Self-attention,Joint Source-Target Self Attention with Locality Constraints,29.7,,,,,,,,30k steps,,,,,,,https://arxiv.org/pdf/1905.06596v1.pdf,
WMT2014 English-German,2019,KERMIT,KERMIT: Generative Insertion-Based Modeling for Sequences,28.7,,,,,,,,,,,,,,,https://arxiv.org/pdf/1906.01604v1.pdf,
WMT2014 English-German,2016,ByteNet,Neural Machine Translation in Linear Time,23.75,,,,,,,,,,,,,,,https://arxiv.org/pdf/1610.10099v2.pdf,
WMT2014 English-German,2018,adequacy-oriented NMT,Neural Machine Translation with Adequacy-Oriented Learning,28.99,,,,,,,,,,,,,,,https://arxiv.org/pdf/1811.08541v1.pdf,
WMT2014 English-German,2016,NSE-NSE,Neural Semantic Encoders,17.93,,,,,,,,,,,,40,,,https://arxiv.org/pdf/1607.04315v3.pdf,
WMT2014 English-German,2017,NAT +FT + NPD,Non-Autoregressive Neural Machine Translation,19.17,,,,Tesla P100 PCIe 16 GB,,1,,,9.53E+03,,,,,PyTorch,https://arxiv.org/pdf/1711.02281v2.pdf,
WMT2014 English-German,2017,MoE,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,26.03,,,,Tesla K40,,64,,1day/64 k40s,2.75E+05,86400,8.70E+09,,,TensorFlow,https://arxiv.org/pdf/1701.06538v1.pdf,
WMT2014 English-German,2019,DynamicConv,Pay Less Attention with Lightweight and Dynamic Convolutions,29.7,,,,Tesla V100 PCIe 32 GB,,8,,30k steps,1.13E+05,,2.13E+08,,,,https://arxiv.org/pdf/1901.10430v2.pdf,
WMT2014 English-German,2019,LightConv,Pay Less Attention with Lightweight and Dynamic Convolutions,28.9,,,,Tesla V100 PCIe 32 GB,,8,,30k steps,1.13E+05,,2.02E+08,,,,https://arxiv.org/pdf/1901.10430v2.pdf,
WMT2014 English-German,2018,Unsupervised NMT + Transformer,Phrase-Based & Neural Unsupervised Machine Translation,17.16,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,https://github.com/huggingface/transformers
